,meeting_date,LM_Positive,LM_Negative,LM_Uncertainty,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,neg,neu,pos,Close,Volume,sma50,sma200,Returns
0,2016-03-16,27,26,13,0.00023189728,0.00023191959,0.00023197672,0.00023169216,0.00023209065,0.99860924,0.0002311751,0.023,0.829,0.148,39.36000061035156,7100,32.05440006256104,37.77719996452331,-6.5527027339117305
1,2016-05-05,39,61,19,0.00015405324,0.00015406938,0.99907607,0.00015392884,0.00015418403,0.00015407037,0.00015362285,0.026,0.837,0.137,26.760000228881836,3592,31.396800117492674,35.63279998779297,-0.8888880411783817
2,2016-08-02,20,29,14,0.00031776773,0.0003177993,0.48904526,0.0003175092,0.50936675,0.00031816005,0.00031679615,0.029,0.84,0.131,19.68000030517578,2833,23.476800003051757,29.739599952697755,-7.865169743308032
3,2016-11-08,23,30,17,0.00030689084,0.000307039,0.12225049,0.0003066962,0.87621576,0.00030715214,0.0003059376,0.021,0.86,0.118,9.119999885559082,3742,12.80159999847412,22.866600041389464,-1.298700092333016
4,2017-03-10,22,16,19,0.0004290761,0.0004289659,0.00042932553,0.00042862154,0.9974274,0.00042891834,0.00042775218,0.032,0.826,0.141,6.840000152587891,249050,5.94479998588562,13.215599994659424,-33.72092679403518
5,2017-05-10,25,22,12,0.00039370518,0.00039375684,0.00039334863,0.00039328396,0.99763995,0.00039341248,0.00039250043,0.026,0.83,0.144,4.800000190734863,52625,6.799199953079223,9.585599989891053,-6.976737738815952
6,2017-08-10,31,36,21,0.00029310043,0.000293249,0.00029277735,0.00029286253,0.99824315,0.00029269728,0.00029217836,0.051,0.819,0.13,9.0,176725,8.414399976730346,6.974399974346161,-25.0
7,2018-04-03,36,51,9,0.4646663,0.00027622457,0.0002759372,0.00027609512,0.53395414,0.00027594875,0.00027529345,0.02,0.851,0.129,7.320000171661377,31900,6.584400033950805,7.81470000743866,-3.3025098326402436
8,2018-05-09,19,29,10,0.00046390985,0.00046415592,0.00046317998,0.0004634415,0.9972196,0.00046333642,0.00046236612,0.014,0.864,0.122,6.679999828338623,7500,7.517200002670288,7.708900020122528,-2.4817529731493315
9,2018-08-08,28,32,7,0.18058623,0.057843816,0.19705991,0.0003506095,0.5634599,0.00035024065,0.00034935577,0.016,0.853,0.131,5.900000095367432,2800,5.9308000183105465,6.794750015735627,0.6825931901308424
10,2018-11-13,10,11,3,0.0006100802,0.0006098037,0.0006091044,0.99634343,0.00061065523,0.00060900574,0.00060793804,0.026,0.823,0.151,3.069999933242798,6400,3.624600009918213,5.696400015354157,-1.2861724502339578
11,2019-04-01,17,21,5,0.00053360144,0.6689754,0.00053268316,0.0005332929,0.32836172,0.0005321442,0.00053117,0.031,0.835,0.134,3.0,15100,3.0809999895095825,3.943500012755394,-1.639342724524051
12,2019-05-15,12,6,5,0.99494666,0.00084369926,0.00084186374,0.0008424808,0.00084299705,0.00084190414,0.0008403966,0.019,0.832,0.149,3.0799999237060547,1500,3.191199984550476,3.493100008368492,4.406775387153372
13,2019-08-08,13,12,5,0.99570537,0.00071661716,0.0007155674,0.0007159643,0.0007165443,0.00071561994,0.0007143265,0.021,0.853,0.126,2.799999952316284,3000,2.932200002670288,3.0156999999284744,-3.1141920180267513
14,2019-11-07,23,4,5,0.9960776,0.00065475656,0.0006535996,0.00065385026,0.00065420335,0.0006536686,0.0006523547,0.021,0.851,0.128,2.1600000858306885,1500,2.5191999959945677,2.908999993801117,-3.139010432469913
15,2020-02-24,9,22,3,0.0005288987,0.9968301,0.000528055,0.0005286003,0.0005289617,0.00052815094,0.0005272167,0.034,0.842,0.124,1.2100000381469727,4500,1.4926000046730041,2.3542499995231627,8.035717231734662
16,2020-03-05,10,9,8,0.9962813,0.00062111934,0.0006195427,0.0006198105,0.00062016945,0.0006195471,0.00061846804,0.019,0.875,0.106,1.2000000476837158,5700,1.4278000020980834,2.2843000000715254,-6.249994179233775
17,2020-05-07,8,9,8,0.0007361057,0.9955936,0.0007342221,0.0007342659,0.00073527166,0.00073387125,0.00073269795,0.031,0.857,0.113,0.7099999785423279,116300,0.8056000030040741,1.7853499987721444,-1.3888957875743513
18,2020-08-03,5,8,5,0.00070966134,0.99574804,0.00070835196,0.0007091115,0.00070927077,0.0007082749,0.00070728984,0.039,0.853,0.107,1.2000000476837158,269000,1.0958000004291535,1.2767000016570091,12.14953166906032
19,2020-10-29,16,19,9,0.00045695808,0.7684332,0.00045597105,0.00045641637,0.00045694277,0.2292855,0.00045502512,0.031,0.843,0.125,1.3600000143051147,255900,1.1049999976158142,1.0508000016212464,6.250003492459744
20,2021-05-11,14,11,5,0.00055567716,0.58955437,0.0005549366,0.40767047,0.00055579,0.000554984,0.0005537741,0.026,0.814,0.16,1.6100000143051147,312800,2.3531999921798707,1.5727999976277351,-3.592811037210075
21,2021-08-05,20,7,6,0.0005012783,0.9969963,0.0005008832,0.00050055207,0.00050095236,0.00050054205,0.0004995553,0.021,0.835,0.144,1.2899999618530273,414700,1.5420000052452087,1.7098499977588653,-3.0075247948591954
22,2021-11-12,20,20,4,0.00041672622,0.99750286,0.00041619717,0.00041607968,0.0004165921,0.00041622773,0.00041533474,0.041,0.809,0.15,1.100000023841858,70500,1.1544000029563903,1.672249999642372,-0.9009000301245074
23,2022-03-08,12,18,5,0.0004858916,0.99708754,0.0004855398,0.00048527867,0.00048572838,0.0004857119,0.00048431187,0.032,0.846,0.123,0.75,156800,0.6459999942779541,1.0845000007748604,-14.772726810914428
24,2022-05-05,15,10,3,0.36262494,0.63483566,0.00050802535,0.00050786865,0.0005086329,0.00050818495,0.00050665194,0.021,0.812,0.167,0.6000000238418579,40900,0.6839999973773956,0.8906500005722046,-4.761900256640573
25,2022-08-04,19,8,3,0.25734228,0.7396626,0.0005991711,0.0005990296,0.0005997866,0.00059937144,0.00059780636,0.031,0.813,0.156,0.5199999809265137,81100,0.5245999944210052,0.6815499970316887,0.0
26,2022-11-03,17,9,3,0.0005212052,0.99687475,0.0005209638,0.0005212281,0.0005214406,0.0005208795,0.00051954755,0.019,0.813,0.167,0.6499999761581421,18900,0.6507999980449677,0.6072999967634678,-2.98508060193573
27,2023-03-07,32,11,5,0.00044803644,0.07599983,0.00044770804,0.9217622,0.00044810754,0.00044763897,0.00044646653,0.03,0.83,0.14,0.949999988079071,136900,0.7307999992370605,0.6235499982535839,3.260866396255957
28,2023-05-04,46,12,6,0.0002877084,0.9982742,0.0002876915,0.0002878373,0.00028813106,0.00028753938,0.0002869099,0.015,0.833,0.151,0.6399999856948853,6100,0.7096000015735626,0.6496499995887279,6.666660043928618
